Central,North,South,East,West,flat_type,storey_range,floor_area_sqm,remaining_lease_decimal,resale_price
0,0,1,0,0,2,1,44,55.05,267000
0,0,1,0,0,2,1,49,53.06,300000
0,0,1,0,0,2,1,44,54.01,280000
0,0,1,0,0,2,1,44,54.01,282000
1,0,0,0,0,3,1,64,62.01,508000
1,0,0,0,0,3,1,64,64.03,500000
1,0,0,0,0,3,1,67,61.05,445000
1,0,0,0,0,3,1,65,49.1,335000
1,0,0,0,0,3,1,68,49.1,320000
1,0,0,0,0,3,1,65,49.09,325000
1,0,0,0,0,4,1,84,63.02,498888
1,0,0,0,0,4,1,105,62.02,685000
1,0,0,0,0,4,1,84,62.01,630000
1,0,0,0,0,4,1,85,64.02,675000
1,0,0,0,0,4,1,100,74.06,758000
1,0,0,0,0,4,2,100,74.06,785000
1,0,0,0,0,4,1,114,68.07,600000
1,0,0,0,0,4,1,105,68.05,738000
1,0,0,0,0,4,1,105,68.04,645000
1,0,0,0,0,4,1,108,68.07,745000
1,0,0,0,0,4,1,104,68.08,630000
1,0,0,0,0,4,1,106,68.07,738000
1,0,0,0,0,4,1,100,60.11,650000
1,0,0,0,0,4,1,110,66,750000
1,0,0,0,0,5,1,121,62.1,890000
1,0,0,0,0,5,1,121,64.1,888000
1,0,0,0,0,5,1,122,64.09,700000
1,0,0,0,0,5,1,121,63.03,900000
1,0,0,0,0,5,2,121,74.06,911000
1,0,0,0,0,5,2,121,74.06,938000
1,0,0,0,0,5,1,120,87.08,1200000
1,0,0,0,0,6,1,149,64.02,980000
1,0,0,0,0,6,1,146,63.02,1150000
1,0,0,0,0,6,1,146,63.01,1160000
1,0,0,0,0,6,1,146,68.08,1068000
1,0,0,0,0,2,1,48,47.08,272000
1,0,0,0,0,2,1,48,47.09,280000
1,0,0,0,0,2,1,47,43.05,270000
1,0,0,0,0,3,1,65,49.07,382000
1,0,0,0,0,3,2,65,59.02,420000
1,0,0,0,0,3,2,60,79.01,618000
1,0,0,0,0,3,1,67,93.11,595000
1,0,0,0,0,3,1,67,93.11,585000
1,0,0,0,0,3,1,72,56.1,495000
1,0,0,0,0,3,2,69,89.05,720000
1,0,0,0,0,3,2,68,95.06,740000
1,0,0,0,0,3,1,59,47.01,380000
1,0,0,0,0,3,1,63,51.06,315000
1,0,0,0,0,3,1,64,59.04,320000
1,0,0,0,0,3,1,67,55.01,372888
1,0,0,0,0,3,1,65,52.01,390000
1,0,0,0,0,3,1,63,46.01,345000
1,0,0,0,0,3,2,62,89.01,680000
1,0,0,0,0,3,1,75,49.01,718000
1,0,0,0,0,3,1,88,49.01,682888
1,0,0,0,0,3,1,88,49.01,675000
1,0,0,0,0,3,1,67,59,390000
1,0,0,0,0,3,1,59,51.06,346000
1,0,0,0,0,3,1,75,59.05,437000
1,0,0,0,0,3,2,76,51.04,350000
1,0,0,0,0,3,1,65,51.04,320000
1,0,0,0,0,3,1,59,51.04,322000
1,0,0,0,0,3,1,66,59.04,390000
1,0,0,0,0,3,1,65,51.04,355000
1,0,0,0,0,3,1,59,51.04,320000
1,0,0,0,0,3,1,65,51.04,330000
1,0,0,0,0,3,1,73,54.01,420100
1,0,0,0,0,3,1,68,93.05,623000
1,0,0,0,0,3,1,70,52.04,280000
1,0,0,0,0,3,1,68,95.01,682000
1,0,0,0,0,3,1,68,95,600000
1,0,0,0,0,3,2,68,95,715000
1,0,0,0,0,3,1,68,95,705000
1,0,0,0,0,3,2,68,94.11,720000
1,0,0,0,0,4,1,92,92.01,790000
1,0,0,0,0,4,1,100,81.1,875000
1,0,0,0,0,4,1,100,81.1,865888
1,0,0,0,0,4,1,87,92,1025000
1,0,0,0,0,4,2,75,79,840000
1,0,0,0,0,4,1,91,61.09,708500
1,0,0,0,0,4,1,91,61.11,715000
1,0,0,0,0,4,2,94,89.05,985000
1,0,0,0,0,4,2,89,89.05,975000
1,0,0,0,0,4,2,95,89.05,950000
1,0,0,0,0,4,2,90,79.02,810000
1,0,0,0,0,4,1,85,85.01,830000
1,0,0,0,0,4,1,90,85,783000
1,0,0,0,0,4,1,90,79.07,850000
1,0,0,0,0,4,2,100,73.07,690000
1,0,0,0,0,4,1,100,73.06,700000
1,0,0,0,0,4,1,100,73.05,670000
1,0,0,0,0,4,1,100,77.02,869000
1,0,0,0,0,4,1,92,79,765000
1,0,0,0,0,4,2,93,89.02,935000
1,0,0,0,0,4,1,91,78.01,708000
1,0,0,0,0,4,1,92,79.06,811088
1,0,0,0,0,4,1,88,52,535000
1,0,0,0,0,4,2,93,89.02,910000
1,0,0,0,0,4,2,101,77.11,835000
1,0,0,0,0,4,2,101,77.11,843000
1,0,0,0,0,4,2,100,82,920000
1,0,0,0,0,4,1,100,81.11,760000
1,0,0,0,0,4,1,90,81.11,815000
